DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
415 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,FL,201,104832.24378,13308.253731,11140.731343
503 - FOOT PROCEDURES W MCC,KY,28,62424.25,17279.75,15452.964286
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,IA,11,32829.272727,9114.0909091,6755
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,NV,12,78717.25,9464.4166667,7570.75
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,OR,13,39781.307692,12162.692308,8610.1538462
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,NE,15,39332.933333,8419.0666667,7325.6
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,KS,17,50932.411765,9234.3529412,7914.3529412
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,CO,18,55843.555556,10345.055556,8878.5
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,WV,21,36999.190476,10364.285714,6434.9047619
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,AZ,22,58684.636364,10809.409091,9545.7727273
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,ME,22,29218.454545,9736.4090909,7933.5
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,WA,23,54844.086957,12050.695652,7731.0434783
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,WI,24,38739.166667,9710.0833333,7740.4166667
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,MD,26,16928.269231,15719.769231,14400.269231
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,CT,28,39275.857143,10890.25,9610.0714286
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,MN,28,34160.5,10673.464286,8527.1785714
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,OK,29,63063.586207,9060.5517241,7822.3103448
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,AL,30,39843.8,8376.8666667,5458.5333333
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,KY,34,41867.029412,9712.9411765,6936.7352941
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,MS,36,34832.777778,8165.5,6021.9444444
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,SC,36,59240.861111,8806.9166667,7265.3611111
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,MO,37,49217.108108,10117.486486,6430.3513514
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,NJ,38,65961.131579,10533.789474,8908.5263158
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,AR,43,33750.72093,8842.8372093,6425.9534884
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,GA,45,35891.311111,9002.1333333,7679.1111111
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,VA,45,48486.688889,11720.555556,6661.3777778
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,TN,46,45214.826087,8742.7608696,6602.6956522
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,IN,47,49432.340426,8972.1702128,7331
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,IL,49,47718.918367,9701.6734694,8105.9387755
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,LA,56,26783.517857,7883.1428571,6507.375
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,MA,59,39031.101695,12314.559322,10138.050847
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,NC,66,36031.560606,9038.7878788,6811.3484848
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,PA,69,53114.73913,10461.507246,7802.5362319
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,MI,74,36223.094595,10365.054054,7982.7972973
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,OH,76,43159.026316,9404.7631579,7227.0921053
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,NY,81,40560.444444,12588.530864,10277.271605
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,CA,106,86126.613208,13791.783019,10294.273585
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,FL,116,92021.043103,9495.1982759,6830.75
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,TX,118,60939.118644,9217.8898305,7135.7457627
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,VT,14,37146.142857,19665,18365.642857
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,DC,22,76598.636364,21499.181818,16834.272727
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,AK,23,114572.78261,28854.695652,22521.521739
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,WY,33,49285.363636,18727.424242,16678.30303
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,RI,39,54223.846154,18264.153846,16298.717949
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,HI,45,60303.8,23316.044444,20875.333333
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,DE,49,56956.183673,20765.102041,16382.183673
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,MT,51,38213.529412,15898.196078,14349.980392
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,ME,56,47733.410714,17142.982143,15794.75
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,ND,61,38346.590164,16064.754098,14222.868852
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,ID,66,61988.030303,15992.984848,14210.636364
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,UT,82,46801.890244,16600.658537,13496.47561
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,NH,84,65988.178571,18082.488095,16486.833333
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,SD,88,73683.340909,17671.613636,15474.477273
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,WV,92,57161.195652,16105.108696,13635.945652
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,NM,115,78043.034783,18221.226087,16309.06087
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,CT,122,74225.278689,22600.319672,19371.344262
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,NV,132,117127.00758,17436.530303,14825.507576
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,NE,136,60495.588235,16836.294118,14519.036765
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,IA,148,56060.459459,15950.682432,14544.878378
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,OR,168,55623.279762,20219.517857,16326.815476
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,KS,174,71279.5,15383.5,13520.270115
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,MS,185,75315.037838,15185.005405,12826.502703
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,CO,208,83301.567308,17028.8125,14865.096154
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,SC,223,89416.264574,15788.874439,13448.865471
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,WI,225,68409.217778,18483.217778,15646.835556
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,AR,227,70580.189427,14655.480176,12815.497797
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,MD,243,25233.436214,23360.8107,21355.946502
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,OK,246,70093.097561,15486.45935,13707.243902
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,WA,249,75582.811245,19229.64257,16186.136546
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,MA,255,45477.94902,20622.509804,18287.564706
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,KY,283,59964.427562,15563.982332,13167.392226
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,LA,294,76546.663265,16227.62585,13463.261905
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,MN,308,49450.045455,18680.899351,16399.438312
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,TN,320,70963.515625,15491.021875,12776.0375
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,AL,339,86328.227139,14693.292035,12289.244838
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,VA,355,77078.529577,16919.050704,13757.673239
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,AZ,362,94996.372928,18948.077348,16911.060773
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,IN,388,71151.925258,16392.688144,14325.141753
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,MO,389,64625.614396,14907.881748,13193.958869
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,GA,414,75183.103865,15637.099034,13578.248792
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,NC,451,60854.853659,16330.252772,13662.150776
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,MI,458,55692.99345,17973.262009,16057.783843
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,NJ,488,133455.33607,19935.864754,17574.79918
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,NY,525,87320.057143,21893.742857,19408.969524
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,PA,533,88368.515947,17238.984991,14194.906191
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,OH,583,72847.319039,16910.060034,14167.001715
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,IL,587,82231.971039,18119.744463,14764.693356
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,TX,1173,101734.87809,16428.337596,13844.034101
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,FL,1188,123700.2138,16037.923401,13910.569024
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,CA,1360,130408.15294,22740.898529,19902.647794
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,DC,28,61928,14865,11481.178571
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,VT,30,32407.766667,14313.2,13025.233333
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,WY,31,47789.064516,15463.290323,11502.225806
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,AK,44,73042.636364,18342.818182,16369.5
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,HI,47,40559.170213,17002.702128,13514.680851
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,RI,59,41400.898305,13420.186441,10831.305085
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,MT,70,34093.171429,10796.971429,9593.5428571
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,ND,77,31272.142857,11277.74026,8972.974026
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,ME,84,35908.416667,11907.142857,9496.3690476
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,SD,84,46033.75,11740.738095,9525.1904762
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,DE,91,34248,12815.824176,10005.175824
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,ID,94,45289.287234,12351.425532,10062.361702
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,NH,109,49970.66055,11936.027523,10737.284404
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,UT,120,37587.241667,12042.75,9683.4166667
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,NE,137,45540.817518,10977.708029,9148.1021898
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,NM,157,50584.55414,13014.993631,10618.55414
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,NV,169,94560.053254,12574.491124,10457.668639
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,WV,169,37881.585799,10725.142012,8495.6686391
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,KS,212,51401.839623,10676.726415,8720.8820755
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,CT,218,52053.880734,14561.610092,12218.362385
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,OR,220,41500.404545,13869.345455,10818.190909
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,IA,233,43760.862661,10720.300429,9020.4635193
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,AR,295,42656.769492,9625.7932203,7906.1118644
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,MS,312,53165.36859,9809.1410256,8099.9198718
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,CO,322,69114.397516,11698.84472,9999.2795031
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,OK,358,52399.047486,10809.857542,8803.8519553
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,SC,371,66219.105121,11102.614555,8640.4636119
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,WI,388,46957.53866,12185.868557,9243.9278351
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,LA,397,53818.241814,10881.576826,8715.0906801
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,WA,409,60210.178484,12761.334963,10488.330073
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,KY,453,46045.282561,10975.540839,8860.3796909
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,MD,458,17690.242358,16384.810044,14610.908297
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,AL,475,55455.391579,9508.3978947,7741.9368421
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,MA,484,34207.295455,13849.059917,12288.894628
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,AZ,500,68041.81,12701.992,10247.15
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,MN,519,37715.865125,12606.217726,10446.703276
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,IN,553,54343.466546,11045.772152,9108.6871609
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,TN,554,52021.388087,10293.729242,8160.099278
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,MO,560,49724.671429,10519.725,8826.5
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,VA,617,53373.73906,11056.02107,8793.3662885
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,GA,647,55858.797527,10984.027821,8823.38949
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,NC,664,46411.230422,11200.893072,9051.9894578
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,NJ,721,82693.399445,13172.911234,10880.454924
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,MI,734,39232.178474,12051.188011,9982.653951
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,OH,753,50477.342629,11186.150066,9073.7822045
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,NY,947,56964.216473,14590.760296,12147.454065
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,PA,950,65721.526316,12028.087368,9428.3484211
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,IL,1085,61300.890323,13208.870968,9442.0562212
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,CA,1837,98446.09472,15528.587371,13039.974959
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,TX,1939,73204.19443,11119.281588,8877.0923156
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,FL,1963,86864.581763,10624.783495,8736.770759
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,DC,20,42123.05,10849.3,8495.05
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,VT,20,25661.5,11339.3,9456.2
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,WY,22,33122.772727,11616.227273,10423.681818
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,AK,28,57400,14457.642857,12635.464286
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,RI,50,28292.9,9748.48,8391.2
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,HI,51,33579.196078,13275.215686,9636.254902
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,ND,51,27750.392157,8814.7843137,6759.5098039
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,MT,56,27578.232143,9165.625,6945.6607143
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,SD,59,40183.322034,9069.0508475,7641.9491525
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,DE,75,24474.76,9668.2133333,7574.64
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,ID,78,34457.705128,8915.974359,7164.025641
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,ME,82,29310.97561,9545.1341463,7075.902439
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NH,90,38484.4,9315.6222222,7274.8666667
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NE,97,34803.670103,8542.5463918,6762.2783505
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NM,103,40887.475728,10412.893204,8722.4271845
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NV,108,81581.62037,9405.2037037,7662.0185185
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,WV,112,29807.410714,8151.5,5928.6071429
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,UT,113,29265.823009,9796.840708,6415.2743363
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,OR,116,36457.741379,10241.525862,8050.0086207
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,KS,154,46903.772727,8434.8376623,6707.4415584
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,IA,158,35867.405063,8706.8291139,6733.278481
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,CT,169,39328.526627,11287.556213,8720.0118343
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,OK,214,46213.598131,8728.4813084,6271.3831776
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,CO,215,58771.95814,9441.627907,7277.0232558
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,AR,239,33989.34728,7544.1004184,5886.125523
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,WI,247,40574.963563,9418.6558704,6872.0242915
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,MS,258,42382.53876,7482.1627907,5891.7403101
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,WA,266,50799.545113,10220.236842,7517.6315789
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,MD,277,13649.436823,12700.924188,10789.859206
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,MN,285,29284.070175,9638.2736842,7717.6982456
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,KY,298,37434.060403,8582.9966443,6457.7080537
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,LA,303,40094.818482,8438.7920792,6224.310231
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,AZ,318,53956.484277,9997.9496855,7970.4559748
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,SC,324,50371.614198,8335.8425926,6146.6944444
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,IN,348,45692.95977,8833.2212644,6621.7011494
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,MO,353,41459.444759,7972.5637394,6341.8838527
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,AL,364,49232.269231,7666,5532.8324176
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,TN,374,42779.088235,7873.8395722,5886.5775401
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,GA,437,43472.514874,8243.4713959,6485
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,MI,456,30885.640351,9347.6052632,7407.7039474
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,VA,470,44878.044681,8779.8404255,6268.2446809
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,MA,483,27352.250518,10443.426501,8648.1180124
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NJ,501,59888.265469,10244.882236,7967.6646707
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,OH,520,42689.336538,8713.3653846,6644.1211538
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NC,553,39699.381555,8634.9132007,6548.2025316
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,IL,674,49279.660237,9760.7166172,7041.9124629
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,PA,681,50831.982379,9113.3920705,6811.856094
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,NY,834,42428.202638,11651.743405,9385.4868106
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,TX,1348,57626.403561,8609.0719585,6552.384273
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,CA,1381,76490.056481,12024.171615,9608.3939175
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,FL,1596,73517.430451,8223.0250627,6315.7218045
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,CT,11,97411.909091,29960.636364,27560.363636
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,ME,11,76314.545455,28786.545455,23786.090909
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,CO,12,120509.91667,27943,24708.25
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,SC,12,110627.75,40080.666667,21096.916667
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,VA,12,117983.58333,32177.166667,19797.833333
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,WI,12,117685.83333,32925.416667,29734.916667
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,WV,13,105392.76923,28177.076923,24951.076923
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,AL,14,113465.57143,20990.928571,18007.5
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,IN,14,85194.571429,25496.928571,20175.214286
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,MD,15,23979.266667,22107.066667,21231.6
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,AZ,16,142641.3125,31137.1875,23136.5625
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,TN,16,75547.0625,26022.9375,24065.875
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,MA,19,112421.78947,40058.631579,37034.210526
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,GA,21,105043.38095,32228.666667,17405.380952
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,MN,22,107404.45455,39329.181818,29538.090909
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,WA,23,109280.47826,30597.434783,28486.565217
